# ZAP Baseline Scan Rules
# Formato: rule_id	action	reason
# Actions: IGNORE, WARN, FAIL

# Ignorar alertas de desenvolvimento
10015	IGNORE	Incomplete or No Cache-control Header - Dev environment
10017	IGNORE	Cross-Domain JavaScript Source File Inclusion
10020	WARN	X-Frame-Options Header Not Set
10021	WARN	X-Content-Type-Options Header Missing
10036	IGNORE	Server Leaks Version Information via "Server" HTTP Response Header Field
10037	IGNORE	Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s)
10038	WARN	Content Security Policy (CSP) Header Not Set
10063	IGNORE	Permissions Policy Header Not Set

# SQL Injection - FAIL se detectado
40018	FAIL	SQL Injection
40019	FAIL	SQL Injection - MySQL
40020	FAIL	SQL Injection - Hypersonic SQL
40021	FAIL	SQL Injection - Oracle
40022	FAIL	SQL Injection - PostgreSQL
40024	FAIL	SQL Injection - SQLite

# XSS - FAIL se detectado
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40016	FAIL	Cross Site Scripting (Persistent) - Prime
40017	FAIL	Cross Site Scripting (Persistent) - Spider

# Outros ataques críticos
90020	FAIL	Remote OS Command Injection
90019	FAIL	Server Side Include
90017	FAIL	XSLT Injection
90023	FAIL	XML External Entity Attack

# Avisos de média prioridade
10010	WARN	Cookie No HttpOnly Flag
10011	WARN	Cookie Without Secure Flag
10012	WARN	Password Autocomplete in Browser
10054	WARN	Cookie without SameSite Attribute
10055	WARN	CSP: Wildcard Directive
10056	WARN	CSP: script-src unsafe-inline
10057	WARN	CSP: style-src unsafe-inline
10096	WARN	Timestamp Disclosure - Unix
10109	WARN	Modern Web Application
10202	WARN	Absence of Anti-CSRF Tokens

# Informativos - apenas avisar
10003	WARN	Vulnerable JS Library
10027	WARN	Information Disclosure - Suspicious Comments
10032	IGNORE	Viewstate
10035	WARN	Strict-Transport-Security Header Not Set
10040	WARN	Secure Pages Include Mixed Content
10049	IGNORE	Non-Storable Content
10050	IGNORE	Retrieved from Cache
10052	WARN	X-ChromeLogger-Data (XCOLD) Header Information Leak
10098	WARN	Cross-Domain Misconfiguration
10105	WARN	Weak Authentication Method

# Ignorar para APIs
10095	IGNORE	Backup File Disclosure
10048	IGNORE	Remote Code Execution - Shell Shock
